Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
P00750	P00750	TPA_HUMAN	PLAT	Tissue-type plasminogen activator	1.23898e+06	1.62473e+06	3.41274e+06	3.45912e+06	5.05003e+06	1.83426e+06	1.52204e+06	1.10491e+06	4.71557e+06	2.33859e+06	6.81836e+06	1.19268e+06	683973	250820	3.73366e+06	1.22457e+06	8.45816e+06	1.61027e+06
P00751	P00751	CFAB_HUMAN	CFB	Complement factor B	560580	496250	1.07442e+06	363818		781560	989349	357276	680676	391938	77595.8		1.2547e+06	225812	503260	154839	116899	1.49526e+06
P00966	P00966	ASSY_HUMAN	ASS1	Argininosuccinate synthase	114611	105523	131922	243047			177887	222726	153305	190364				98822.4		55080.7		
P01008	P01008	ANT3_HUMAN	SERPINC1	Antithrombin-III	7.74161e+07	8.3929e+07	6.05009e+07	6.91783e+07	2.06145e+07	2.20992e+07	8.8051e+07	6.20878e+07	5.76349e+07	7.42249e+07	2.14939e+07	2.5062e+07	2.62286e+07	3.6099e+07	5.79105e+07	3.1146e+07	2.02324e+07	2.09722e+07
P01011	P01011	AACT_HUMAN	SERPINA3	Alpha-1-antichymotrypsin	202927	158566	243544	399857	229341	67118.3	126439	111210	622281	422300	416945				253445	56821.6	358160	70804.1
P01023	P01023	A2MG_HUMAN	A2M	Alpha-2-macroglobulin	1.5147e+08	1.45601e+08	1.17432e+08	1.40864e+08	3.42059e+07	3.10992e+07	1.77578e+08	1.17735e+08	1.01841e+08	1.32021e+08	3.37526e+07	3.63158e+07	7.98327e+07	5.96762e+07	1.05357e+08	5.41943e+07	3.47712e+07	4.11214e+07
P01023;P20742	P01023;P20742	A2MG_HUMAN;PZP_HUMAN	A2M;PZP	Alpha-2-macroglobulin	2.62763e+08	2.44783e+08	1.51931e+08	2.55659e+08	5.01318e+07	4.32767e+07	2.83988e+08	2.17362e+08	1.62782e+08	1.9316e+08	6.21402e+07	5.47504e+07	5.77111e+07	9.5354e+07	1.08469e+08	8.33784e+07	5.36615e+07	5.58653e+07
P01024	P01024	CO3_HUMAN	C3	Complement C3	1.44705e+08	1.46776e+08	8.54429e+07	1.2926e+08	1.98557e+07	2.43711e+07	1.29031e+08	1.03397e+08	9.30829e+07	1.28001e+08	2.67915e+07	3.88329e+07	4.4337e+07	4.80719e+07	6.9902e+07	4.38104e+07	2.43398e+07	2.67923e+07
P01031	P01031	CO5_HUMAN	C5	Complement C5	2.08988e+07	2.21704e+07	1.26881e+07	1.81879e+07	4.0234e+06	5.02316e+06	2.24911e+07	1.73328e+07	1.36484e+07	1.54261e+07	3.49644e+06	4.34015e+06	5.54769e+06	7.75926e+06	7.68695e+06	6.76148e+06	4.14771e+06	4.97849e+06
P01033	P01033	TIMP1_HUMAN	TIMP1	Metalloproteinase inhibitor 1	1.93221e+06	1.77692e+06	4.68031e+06	3.70252e+06	5.28033e+06	2.55108e+06	1.68148e+06	1.38816e+06	7.39137e+06	3.46681e+06	9.06869e+06	4.30539e+06		453779	5.2755e+06	1.07908e+06	9.53757e+06	1.61338e+06
P01034	P01034	CYTC_HUMAN	CST3	Cystatin-C	520613	483317	1.84351e+06	1.74238e+06	7.24169e+06	4.03637e+06	446199	429521	3.792e+06	1.73157e+06	7.58213e+06	3.34147e+06			2.70587e+06	512927	6.81809e+06	3.24952e+06
