Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	52881.9				327150	107421	84918.7					2.19924e+06		62159.1		53280.9	40297	521799
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	179198	121862		161000		78044.4	161450	265545	81994.1					189135		223910		93946.6
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1						118763												
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	364496	218970	458555	403488	306394	352699	292289	371234	418763	494887	579993		140373	343730	321215	379398	580694	489646
A6NHG4;P30046	P30046;A6NHG4	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	D-dopachrome decarboxylase-like protein							108225	72091.3	248636				88846.7	144411		472823	119452	95721.7
A6NHL2;P68366;Q9BQE3	Q9NY65;Q71U36;P0DPH8;P68366;P0DPH7;Q6PEY2;A6NHL2;Q9BQE3;P68363	TBA1C_HUMAN;TBA4A_HUMAN;TBAL3_HUMAN	TUBA1C;TUBA4A;TUBAL3	Tubulin alpha chain-like 3	3.07234e+06	3.30971e+06	2.12668e+06	3.28191e+06	956468	1.55244e+06	4.02825e+06	4.96023e+06	2.88054e+06	4.07174e+06	992774	1.07933e+06	5.48765e+06	3.37753e+06	4.498e+06	3.10843e+06	1.9289e+06	1.57099e+06
A6NKH3;P61513	P61513;A6NKH3	RL37A_HUMAN;RL37L_HUMAN	RPL37A;RPL37AP8	Putative 60S ribosomal protein L37a-like protein	622141	142911	146980	87822.3		48223.1	362149	295380						538919		103799	29572.4	
A8MUV8	A8MUV8	ZN727_HUMAN	ZNF727	Putative zinc finger protein 727	2.67084e+06	3.04356e+06	1.7684e+06	2.79244e+06	345166	333434	1.82074e+06	2.18221e+06	1.56057e+06	2.79599e+06	381815	527391	1.2511e+06	1.50124e+06	1.9762e+06	739320	413873	282424
A8MWD9;P62308	A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	336289	462151	745791	553952	405160	944624	256097	368357	528398	532573	258030	336118	649632	660196	877894	842219	855434	768357
A8MWL7;Q9NUH8	A8MWL7;Q9NUH8	TM14B_HUMAN;TM14D_HUMAN	TMEM14B;TMEM14DP	Transmembrane protein 14DP					144910													
B9A064	B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	1.90286e+06	3.85046e+06	3.41674e+06	2.18802e+06	694729	1.44679e+06	3.39208e+06	3.14527e+06	2.48107e+06	1.83879e+06	1.25553e+06		1.04635e+06	1.34176e+06	1.9825e+06	797791	1.72949e+06	1.18422e+06
E9PAV3;Q13765	Q13765;E9PAV3	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	706425	1.15101e+06	817995	1.34074e+06	824876	1.26502e+06	738677	1.07515e+06	1.32773e+06	1.02564e+06	416106	615386	703502	1.55849e+06	952512	2.33199e+06	787305	688074
F8WCM5;P01308	P01308;F8WCM5	INSR2_HUMAN;INS_HUMAN	INS;INS-IGF2	Insulin, isoform 2	6.6368e+07	3.09726e+07	2.39955e+07	6.02568e+07	1.15294e+07	2.62668e+07	5.78718e+07	5.67301e+07	2.38007e+07	7.86263e+07	1.22069e+07	1.07551e+07	1.56029e+07	4.31996e+07	3.20191e+07	1.8624e+07	1.69208e+07	2.02784e+07
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	214571	75775.8	1.70674e+06	893913	2.9771e+06	1.13172e+06	489546	225807	1.28241e+06	1.25133e+06	3.37554e+06				1.47718e+06	168109	3.1566e+06	1.23836e+06
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal						233438												
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A					1.46899e+06													
O00148;Q13838	O00148;Q13838	DX39A_HUMAN;DX39B_HUMAN	DDX39A;DDX39B	ATP-dependent RNA helicase DDX39A	4.70936e+06	5.97151e+06	5.13796e+06	5.85533e+06	1.1945e+06	4.59511e+06	4.26702e+06	5.52814e+06	5.52797e+06	5.63779e+06	2.0943e+06	5.72077e+06	2.8733e+06	6.20227e+06	3.71396e+06	6.45348e+06	3.73113e+06	4.4861e+06
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	319281				73017.7	58586.6	267549	22498.7	65926.3					33755.2		36747.5	37695.5	61024.8
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.20546e+06	741878	523486	1.30499e+06	648041	1.18902e+06	1.19079e+06	1.11335e+06	835978	1.1669e+06	474074	1.20475e+06	1.13479e+06	1.17472e+06	606568	1.11708e+06	855187	931507
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	156309	92907.8	291657	329988	220760	370788	143784	142277	309462	383137	551638	482307		146681	302332	141783	485306	291670
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1					187628													
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	516358	357124	374621	544484	305605	785499	628964	692990	478238	389926	200288	760497		738496	454449	806027	527711	1.13087e+06
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	771071	820959	627321	685883	35977	538312	869823	942307	603743	468175		1.30123e+06	584077	905556	1.03526e+06	815734	304344	546038
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9		18267.9	41027.9					30207.1	44946.8					54392.5		42721.4	29946.1	59463.4
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	3.55521e+06	3.12817e+06	2.92995e+06	3.26293e+06	2.19248e+06	2.63931e+06	3.59652e+06	3.78014e+06	2.66778e+06	3.52748e+06	2.55906e+06	4.71756e+06	4.22524e+06	3.41445e+06	2.53782e+06	2.14302e+06	3.18565e+06	2.29578e+06
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	137737	132021	70255.1	67757.2	611236		155681	90439.1		131025				154498		158013	78538.9	104551
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	3.51593e+06	1.83793e+06	2.18473e+06		116017		3.81375e+06	1.12165e+06	1.6332e+06				2.72198e+06	570106	2.14981e+06	474241		
O00339	O00339	MATN2_HUMAN	MATN2	Matrilin-2	166573	155644	446712	494382	960478	454061	175589	129205	862531	349740	1.18866e+06	339539		46361	592772	218032	1.6701e+06	559470
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	3.32302e+06	3.59368e+06	7.84652e+06	6.59819e+06	1.27084e+07	3.27599e+06	3.88051e+06	2.82591e+06	9.60322e+06	5.2752e+06	1.63278e+07	4.58985e+06	3.20123e+06	775403	1.0152e+07	1.49183e+06	1.58692e+07	3.82682e+06
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	569986	595899	694422	840110	501322	575148	784817	813740	863021	754643	396796	1.17556e+06	804107	972966	600032	885343	560368	769586
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	425750	299971	242390	238770	252235	209265	358289	562226	315910	138075		167731		233626		225101	26077.8	197374
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase		133031						121516		64955.4				127100		80433.3		167335
O00462	O00462	MANBA_HUMAN	MANBA	Beta-mannosidase		177629	527711	777027	432313	254582		231866	905826	658240	795492				1.52214e+06	141067	1.07885e+06	340436
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin	1.26849e+06	1.06599e+06	3.05595e+06	3.36769e+06	3.99987e+06	668328	1.36642e+06	896199	3.98114e+06	2.77917e+06	5.88363e+06	1.14755e+06	422163	143112	2.60198e+06	656985	6.11118e+06	692412
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	369526	398259	1.21149e+06	803153	1.53161e+06	616852	446381	355664	1.49638e+06	706553	2.0116e+06	392469		220745	972424	341785	2.22563e+06	523490
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	430605	373566	531446	460093	1.00515e+06	1.1217e+06	433096	359982	461271	485542	114534	800302	601453	360784	490049	487698	195276	474520
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1				15425.8						34459.5	112718					53267	62161.5	90765.7
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	429400	394029	215660	532706	111272	226214	469699	283652	320315		146203	745128		242208	349315	352121	155179	100328
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.59572e+06	1.37144e+06	3.14179e+06	3.50465e+06	5.95666e+06	2.05862e+06	1.51625e+06	1.62169e+06	3.76042e+06	3.56014e+06	5.83965e+06	1.51094e+06	1.7796e+06	761895	3.48011e+06	1.23553e+06	6.16136e+06	1.94917e+06
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56					611280	254752												
O00571	O00571;O15523	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	413245	519227	233066	359079	505267	304481	783723	601717	378628	327391	1.47013e+06	292037		518481		379016	157258	323976
O00571;P17844;Q92841	O00571;Q92841;P17844;O15523	DDX17_HUMAN;DDX3X_HUMAN;DDX5_HUMAN	DDX17;DDX3X;DDX5	ATP-dependent RNA helicase DDX3X	101109	191064	196452	16654.6		71699.7	166045	117189	139433	97088.4	32687.6		54518.1	119539		124220	47388.8	122048
O00584	O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2			116231	201880	705271	302326			185993		772985						887116	231364
O00625	O00625	PIR_HUMAN	PIR	Pirin	240676	331481	246613	358408	417367	813800	309374	318814	409963	424940	247408	911573	258936	514881	443597	537620	506394	541795
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	51085.1	79751	23396.9	65910.3	541997		85810.9	75055.1	70563.6	63131.6	34004.8	194409		121367	138057	140566	98990.7	
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	447250	779818	615191	906912	858617	100004	609207	417445	642874	937735	619200		708470	375990	859007	299796	827086	141419
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	159386	145021	236085		1.00429e+06	431933			118098	150964		218939	279174	184429	74508		81618.5	48841.2
O00767	O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase		92736.1	141046		263246		194666		177536		276667	364636				24209.1	204378	
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon					276338	5.49021e+06						1.26998e+06				25793.9		108254
O14602;P47813	P47813;O14602	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	136839	183335	188646	270400	260791	281933	15013.5	120667	228828	207502	107024	290619	69095.7	192959		234539	185828	292865
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1					491946	81298.5												
O14657	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	76995.3		349734	308592	269514				340492	249236	456333						516194	80134.9
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	199677	317731	1.18248e+06	1.23971e+06	1.06596e+06	332325	198146	276233	1.03736e+06	1.40904e+06	1.02899e+06	456565			1.17325e+06	326533	1.14383e+06	394182
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	53176.3		115051	83268.8		112083		77310.5	86988.2	97203.5	93882.2			98391.7		160373	100498	70061.1
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	467590	591104	1.02517e+06	408634	40784.4	270414	551613	682073	518485	317763	84166		221969	661778		592598	142125	542240
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.82913e+06	1.81966e+06	4.62e+06	5.50988e+06	7.59662e+06	4.25737e+06	1.87302e+06	1.72692e+06	7.17499e+06	5.76869e+06	9.41697e+06	5.48188e+06	381969	566378	3.36372e+06	1.16687e+06	7.29594e+06	3.66874e+06
O14786	O14786	NRP1_HUMAN	NRP1	Neuropilin-1	179519	167275	268834	244096			105035	195024	140600	240090	97599			60529.1		33984.8	133955	208909
O14817	O14817	TSN4_HUMAN	TSPAN4	Tetraspanin-4	311626	493106	828777	793384	1.97798e+06	791748	574443	366437	985241	1.15043e+06	1.50575e+06	513259		74363.6	879402	142721	1.91744e+06	527827
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1.40367e+06	1.4691e+06	2.45423e+06	1.11405e+06	777380	2.39725e+06	1.1624e+06	1.11372e+06	1.77201e+06	1.17488e+06	702514	1.12717e+06	1.12047e+06	1.37367e+06	1.99873e+06	2.25458e+06	1.39008e+06	2.22091e+06
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3			339427	55301.7	97634.2	571669	121186		158435		105016	245139			42508.3		63939	
O14908	O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	83317.3		311762	280443	264230	786544		201995	306068	246873	264524			144698		223316	196730	128147
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	52115.4			65039	149201		267959	31209.2	121006		218881	870027		26967.3			73919.7	
O14950;P19105	P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	421682	667494	609876	547209	360856	779467	176474	534337	493987	583810	339369	630700	752205	533577	502164	639188	584242	990344
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate				54500	70413.8	582153	65136.6	25237.6			22499.4			25870.5		49504.7	30756.2	
O14966;P57729;Q13637	P57729;Q13637;O14966	RAB32_HUMAN;RAB38_HUMAN;RAB7L_HUMAN	RAB29;RAB32;RAB38	Ras-related protein Rab-7L1	210713	135473	79721.6				182760		94980.4		87891.9			68837.5	190040	69207.1	179086	47719.2
O14975	O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase					104121													
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.70388e+06	1.0416e+06	1.69484e+06	904345	1.13306e+06	1.2238e+06	1.17867e+06	1.10033e+06	1.22381e+06	1.53063e+06	1.41449e+06	1.90818e+06	1.17768e+06	1.54115e+06	2.0354e+06	2.50745e+06	1.78833e+06	1.99418e+06
O14979;Q14103	Q14103;O14979	HNRDL_HUMAN;HNRPD_HUMAN	HNRNPD;HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	591657	435194	303927	436955	383248	737708	491699	518806	594405	432620	157376	1.05758e+06		472361	474186	834751	343881	94606.8
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	328723	281535	408582	397820	1.16184e+06	577676	351392	338849	362870	452873	67112.9	401933		332733	89768.1	317239	185746	155735
O15027	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A					91399.9	2.84351e+06												
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein					296507	117559						128949		2.36513e+06				250291
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	325056	389491	265004	353785	202412	291435	446336	358674	393506	421406	223949	215932	330196	353649	376572	501931	331437	382387
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	949941	1.51868e+06	1.0146e+06	968791	469672	1.35702e+06	1.18899e+06	1.36036e+06	1.4577e+06	1.20337e+06	568097	1.52455e+06	1.49504e+06	1.13769e+06	1.01742e+06	1.13287e+06	779616	1.47469e+06
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	702579	455238	325673	296416	224022	256686	313160	607048	646947	506500	307367	696385	1.28886e+06	455358	166927	694472	505682	351701
O15228	O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase					129227	327736												
O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	243188	134796	406686	377223	713711	142659	119699	84630.1	478054	248473	643064			58408	337577	85401.3	663972	136283
O15240	O15240	VGF_HUMAN	VGF	Neurosecretory protein VGF	2.17178e+06	2.45527e+06	6.76519e+06	4.68733e+06	4.96075e+06	1.35489e+06	2.70221e+06	2.3929e+06	7.43729e+06	4.65566e+06	6.14932e+06	3.20438e+06	921454	617160	6.74428e+06	2.50952e+06	8.6413e+06	1.45728e+06
O15260	O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4					746098	943870						1.72674e+06						165785
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	46673.9					40999.7		58447.5		23717.1						15160.4	20483.5	227448
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3		258431	252158				208175	275319	221718					290767		360359		277045
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	43558.3	83070.4	51257.5	68840.6		94290.9	135362	61444.3	67836.1	50594.3	35269.7			58799	54098.6	136824	115592	65063.7
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	379913	346283	415660	375445	81007.2	480385	416595	475649	356291	296116	147150	393167	45332.2	385131	63996.8	357715	167495	542684
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	267755	296339	533352	336803	110297	429749	367403	294796	374530	325864	161535	447541	1.34374e+06	282501	754530	540938	358835	311214
O15427	O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4			67618						115457		46054.6			44742.8			76417.9	145750
O15498	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6						37356.6												85338.7
O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.36298e+06	572571	1.0497e+06	1.50779e+06	885230	1.53692e+06	1.16785e+06	1.03992e+06	1.14911e+06	1.05111e+06	1.12692e+06	1.32406e+06	1.65329e+06	1.8245e+06	1.55812e+06	2.03873e+06	1.34598e+06	1.61433e+06
O15540	O15540	FABP7_HUMAN	FABP7	Fatty acid-binding protein, brain	523029	532920	335105	640426	125428	193638	378742	887770	523802	678451	267668	883623		569056	444472	639869	505323	217227
O43143	O43143	DHX15_HUMAN	DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	503995	392868	353792	253617	2.6507e+06	864437	553185	375430	323217	253656	142336	541451	473288	593803	523253	440773	225002	608088
O43156	O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog					72855.4	74937.8												
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	1.37644e+06	1.05772e+06	716775	1.02911e+06	1.00329e+06	830163	1.42896e+06	1.74793e+06	936267	868592	596159	846660	558425	1.01127e+06	461886	651600	591200	747382
O43237	O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	83985.6		103962		78142.6	112058	76325.5		109585		37639.1	308386	20260.3	49638.8		58402.6	77563.4	137203
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	567557	696850	733661	436693	3.84788e+06	905769	646001	747375	647925	792466	246592	774293	362998	769743	371153	853856	465405	733922
O43252	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	325475		229810	176173	1.04261e+06			142814	338204	180622				215830		574251		
O43286	O43286	B4GT5_HUMAN	B4GALT5	Beta-1,4-galactosyltransferase 5		908456	870874	840462	2.10818e+06	391467			1.28424e+06	269248	1.6002e+06				164700	74755	1.46231e+06	214825
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	417392	432185	226666	246999		394315	503517	474821	242169	458484		1.28668e+06		560445	339418	430880	482026	597029
O43390;O60506	O43390;O60506	HNRPQ_HUMAN;HNRPR_HUMAN	HNRNPR;SYNCRIP	Heterogeneous nuclear ribonucleoprotein R	1.31221e+06	1.28275e+06	1.63982e+06	1.32901e+06	584579	2.58229e+06	2.31832e+06	1.35459e+06	1.5693e+06	1.4029e+06	917370	2.03816e+06		1.75758e+06	2.28057e+06	2.13197e+06	1.60802e+06	2.43033e+06
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	783293	633230	533144	780338		546088	781960	925468	573799	991982	462468			910542	486618	1.11952e+06	622713	680001
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	116592		259514	65256.3		386429	146403	75427.4	121364	240759	115913	237361		219581		332249	215693	386864
O43405	O43405	COCH_HUMAN	COCH	Cochlin	671965	706113	2.29514e+06	2.13623e+06	3.59549e+06	1.63973e+06	792314	422378	2.50484e+06	2.49982e+06	3.95773e+06	1.64235e+06		160894	1.3193e+06	582903	4.20606e+06	1.98633e+06
O43464	O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial					610938													
O43505	O43505	B4GA1_HUMAN	B4GAT1	Beta-1,4-glucuronyltransferase 1	510447	501662	1.20082e+06	1.27317e+06	2.5221e+06	1.46101e+06	504856	379502	1.29506e+06	1.63922e+06	2.01545e+06	1.38723e+06		448341	1.40564e+06	474272	1.87164e+06	1.74465e+06
O43583	O43583	DENR_HUMAN	DENR	Density-regulated protein	441816	379834	618592	396504	345524	716683	439995	581896	517217	587410	412578		690026	455376	477384	513060	574676	784243
O43592	O43592	XPOT_HUMAN	XPOT	Exportin-T	172764		174984	104088		98186.2	166418	191521	124086		70858.2			146292		154616	117752	
O43670	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	261672	284292	635157	266890	132638	590624	252412	313209	501348	154269	137883		1.11118e+06	479457	636010	463930	386859	828076
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3	391572	434767	192098	473425			491103	563536	393842	356004				552114		423474	60704.3	137488
O43684	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	289392	281440	324847			317795	316428	266998	244425	195401			376704	483177	327026	506085	273510	416191
O43692	O43692;Q9H0B8	PI15_HUMAN	PI15	Peptidase inhibitor 15		32150.9	87602.4		116439				83009.6		170454				35091.1		192107	
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	2.39605e+06	2.23745e+06	2.22719e+06	2.84642e+06	1.94564e+06	3.29419e+06	1.94394e+06	2.38938e+06	2.92328e+06	2.79055e+06	2.02211e+06	3.68687e+06	1.39299e+06	2.28494e+06	1.94504e+06	2.68731e+06	2.35919e+06	3.32881e+06
O43707;P12814	P12814;O43707	ACTN1_HUMAN;ACTN4_HUMAN	ACTN1;ACTN4	Alpha-actinin-4	5.13777e+06	5.75988e+06	5.57505e+06	6.35624e+06	4.68579e+06	9.46718e+06	4.32433e+06	5.57906e+06	6.71683e+06	5.87441e+06	4.17e+06	1.26653e+07	3.93938e+06	5.87361e+06	6.58306e+06	6.35195e+06	6.17715e+06	8.00713e+06
O43747	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1					85293.2	328413	215947				109647			32835.1		96553.1	153905	105634
O43768	O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	186715	118354	185196	107402	116092	140692	109260	185702	188050	274781	97885.6		259302	197648	279244	438344	207690	218468
O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	1.04782e+06	1.1391e+06	793308	1.11388e+06	311379	1.28925e+06	1.14199e+06	1.2944e+06	1.23699e+06	994767	380281	1.15829e+06	1.09173e+06	1.43296e+06	600669	1.16963e+06	560561	1.32509e+06
O43781	O43781	DYRK3_HUMAN	DYRK3	Dual specificity tyrosine-phosphorylation-regulated kinase 3	2.20478e+06	5.71225e+06	470090	6.50732e+06	745655	566741	772469	4.98165e+06	3.27707e+06	1.24021e+07	908082	793304		2.72914e+06	794834	1.52594e+06	730527	271391
O43809	O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	137945	187766	281246	199904	91191.9	498199	273414	192540	244447	129029	160837	369333		224958	339146	423974	396673	317417
O43823	O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8					14717.4												40638.6	38594.1
O43847	O43847	NRDC_HUMAN	NRDC	Nardilysin			235687			162339	306263	322785	276362							262622	166558	185667
O43852	O43852	CALU_HUMAN	CALU	Calumenin	1.19719e+06	1.44761e+06	2.63492e+06	2.46179e+06	726499	704084	1.07968e+06	2.13291e+06	2.11327e+06	2.34803e+06	758812	488379	919901	1.32463e+06	1.98762e+06	970288	826488	1.57665e+06
O43865;Q96HN2	Q96HN2;O43865	SAHH2_HUMAN;SAHH3_HUMAN	AHCYL1;AHCYL2	S-adenosylhomocysteine hydrolase-like protein 1	822360	253423	652022	771395	287060	279704	562864	594238	556750	706627	367100			531707	463193	530913	348537	463337
