,Gene,Fold Change,Neg Log P-Value,p-values,Distance
0,A1BG,0.6079846436190302,0.5530981727342833,0.27983486784068645,0.8219263443633877
1,A2M,0.5788497301793711,0.832061374629099,0.14721044494806715,1.0136040357449236
2,A2M;PZP,1.8193213071950964,1.218614497675933,0.06044849635313946,2.1897377269344473
3,AAAS,-0.9212059992456112,0.5728632706187509,0.26738480865238196,1.0848008203675537
4,AAMP,-1.061434257994815,0.7164485800408414,0.1921106405040671,1.2806019099968349
5,AARS1,0.1888482290928124,0.2951197546137859,0.5068509272991243,0.35037026585427106
6,AARS2,0.7510037413356763,0.9484983324520952,0.11259047919905596,1.2098163935757313
7,AASDHPPT,-1.3591104136467447,1.2489656380229153,0.05636822533772487,1.8458321379380664
8,ABCA1,0.4776205192662246,0.6922407364361064,0.20312307548447284,0.8410223526195609
9,ABCB10,-0.41370767596198377,0.2146567296546634,0.6100188712525696,0.4660810581174706
10,ABCB7,0.43761773430788864,0.4304132252276938,0.3711818865624814,0.6138117185519313
11,ABCD3,0.0022491439057290563,0.0009849258018801298,0.9977346942175138,0.002455346644343192
12,ABCE1,0.6910690329575857,0.24564428646519662,0.5680096493040542,0.7334286085134178
13,ABCF1,-0.5158835224159848,0.16373111608631816,0.6859127628776275,0.5412427247318852
14,ABHD10,-0.9087233246422812,0.3828131143002284,0.41417786559032,0.9860648869263933
15,ABHD11,-0.10047250846990252,0.05702909405147544,0.876942071485384,0.11552940113480492
16,ABHD17B,-0.6751560931401599,0.3146088454615906,0.48460864190804476,0.7448586951542953
17,ABI3BP,0.11800265037491897,0.1201901909980084,0.7582454431566396,0.16843487616180655
18,ABRACL,-0.39034619127853887,0.18604087455790388,0.6515670675410092,0.4324134087328137
19,ACAA1,-1.3752324880255458,0.4520235773826978,0.35316399637605583,1.447615180436702
20,ACADM,-0.7404951545136456,0.5112700249450169,0.30812715572771704,0.899850049878015
21,ACADS,0.8928846425928576,0.5606653861385676,0.27500121578735365,1.0543190504738515
22,ACAN,-0.256106316670234,0.21931980236708318,0.6035040621212988,0.33718188140635696
23,ACAT1,-0.16174726375350446,0.08300761848619859,0.8260234591708232,0.18180330596140445
24,ACAT2,0.03704278525438198,0.01848699824368759,0.9583254058877676,0.04139972274622582
25,ACBD3,-0.4326899867643448,0.19852549337612116,0.6331031970395616,0.47605986615798773
26,ACE,-0.8042479111839036,0.5371995774773589,0.2902688434506813,0.9671598051436614
27,ACHE,-0.4288433710072752,0.15181161004141638,0.7049988197922678,0.4549213138557596
28,ACLY,-0.6777313004546315,1.126303915083483,0.07476461218704594,1.3144885791623706
29,ACO1,0.7609534286411517,0.5860495592661652,0.25938833457162874,0.9604708254167801
30,ACO2,-0.6579753895738811,0.21633039984068206,0.6076725240771397,0.6926257684927193
31,ACOT7,-0.12429261806856573,0.35405512825395863,0.4425321948685735,0.3752381760285931
32,ACP1,-0.14931931816484223,0.10155976059649782,0.7914805363548018,0.18058417358570306
33,ACP5,-0.9107037995512677,0.48783906249610787,0.32520778805594436,1.0331352096478936
34,ACP7,0.12210253897324108,0.060682663446161036,0.8695956058534577,0.13635034164472015
35,ACSL3;ACSL4,-1.0870800907787768,0.6275462834266511,0.23575109390294136,1.2552121181737357
36,ACSL4,-0.7677177418551047,0.22941208294927531,0.5896413299058307,0.8012617768009568
37,ACTA2;ACTB;ACTG1;ACTG2,-0.2449976358097139,0.7307788933655731,0.18587505354382267,0.7707539377395103
38,ACTA2;ACTB;ACTG1;ACTG2;POTEF,0.38649528178072146,0.5927457451385918,0.25541962024750986,0.707620040147722
39,ACTA2;ACTG2,1.903219091639592,0.7647400551898406,0.17189369404973145,2.0511143953454165
40,ACTB;ACTG1,0.565170930035773,1.4109508415719176,0.03881943037853543,1.5199343595991253
41,ACTB;ACTG1;ACTG2,0.6797165126110372,1.0259270908208717,0.09420477338348342,1.2306668652386346
42,ACTB;ACTG1;ACTG2;POTEJ,-0.3314085830167386,0.31894852475910684,0.4797903129519991,0.45995631351593935
43,ACTB;ACTG1;POTEF,0.09129518729613295,0.07958925564932147,0.8325508036196013,0.12111672402376578
44,ACTB;ACTG1;POTEJ,-0.3410556472016246,0.468945973413438,0.33966752487843566,0.5798528093135326
45,ACTBL2,0.6328398889656839,1.0270247999608504,0.0939669650117894,1.2063441734433518
