Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_DMSO_20240304160237.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_Torin1.mzML
P13646	P13646;P19012	K1C13_HUMAN	KRT13	Keratin, type I cytoskeletal 13		1.86144e+06	2.14448e+06	286082		1.03097e+06	3.08901e+06	280945		313479				445173		1.2909e+06		108229
P13647	P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	4.39372e+07	2.33244e+07	4.46203e+06	3.73e+07	3.17748e+06	2.81497e+06	1.97716e+07	1.05586e+07	4.45303e+06	7.1029e+06	1.21882e+06	5.65702e+06	3.23642e+06	6.61736e+07	1.03092e+06	6.47726e+06	1.19471e+06	7.99221e+06
P13667	P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	439889	252572	316487	271740	461596	873899			299414	491538	372530	432659			259272	290642	352978	612455
P13671	P13671	CO6_HUMAN	C6	Complement component C6	292413	328926	1.08027e+06	257509	207389	84971.2		319152	240985	62807.9	41529.1			733407	257485	248065	40867.2	108540
P13693	P13693;Q56UQ5	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	1.47452e+06	1.55179e+06	2.06815e+06	1.48592e+06	1.60356e+06	1.01922e+06	1.12495e+06	1.70683e+06	1.79151e+06	1.42107e+06	1.68503e+06	1.41798e+06	4.32733e+06	1.18256e+06	2.05365e+06	1.90068e+06	1.74041e+06	1.37174e+06
P13796	P13796	PLSL_HUMAN	LCP1	Plastin-2	1.23275e+06	1.09277e+06	1.59943e+06	1.52979e+06	1.77304e+06	1.53446e+06	2.35701e+06	1.60364e+06	1.34561e+06	1.46537e+06	1.57842e+06	1.391e+06	4.96596e+06	1.60858e+06	1.15992e+06	1.20226e+06	1.59084e+06	1.87462e+06
P13796;P13797	P13796;P13797	PLSL_HUMAN;PLST_HUMAN	LCP1;PLS3	Plastin-2	7.56608e+06	6.45019e+06	7.35656e+06	8.27607e+06	7.52731e+06	8.34285e+06	2.88334e+06	7.01743e+06	6.78942e+06	6.24874e+06	8.20043e+06	8.09149e+06	1.19204e+07	6.76693e+06	5.19405e+06	7.64378e+06	7.74732e+06	8.63941e+06
P13796;P13797;Q14651	P13796;P13797;Q14651	PLSI_HUMAN;PLSL_HUMAN;PLST_HUMAN	LCP1;PLS1;PLS3	Plastin-2	7.84235e+06	6.09058e+06	6.70651e+06	7.81863e+06	9.29684e+06	9.90928e+06		6.62285e+06	8.30288e+06	8.56584e+06	1.11905e+07	1.03297e+07		7.50982e+06	7.0639e+06	7.49741e+06	1.05921e+07	1.04202e+07
P13797	P13797	PLST_HUMAN	PLS3	Plastin-3	2.68247e+06	2.97576e+06	3.47416e+06	3.54349e+06	4.08015e+06	4.27037e+06	2.02638e+06	3.26563e+06	3.16984e+06	3.1917e+06	4.65338e+06	4.83668e+06	4.7177e+06	2.45777e+06	3.22692e+06	4.08045e+06	4.84772e+06	4.34837e+06
P13797;Q14651	P13797;Q14651	PLSI_HUMAN;PLST_HUMAN	PLS1;PLS3	Plastin-3	421570	400526	661026	731900	983046	939603		911977	953232		1.17717e+06	1.12773e+06	2.22559e+06		768239	922508	1.10408e+06	1.13093e+06
