,Gene,Fold Change,Neg Log P-Value,p-values,Distance
0,A1BG,-0.10449096389689316,0.05706331682607321,0.8768729704268448,0.11905706053525192
1,A2M,-0.356581844799166,0.27267038257672727,0.5337398354776881,0.44888723480949566
2,A2M;PZP,0.07881854092018514,0.030800768152970937,0.9315351175959474,0.08462298571664775
3,AAAS,-0.5823410131435125,0.45392705607111156,0.3516194934395322,0.7383568431472676
4,AAMP,-0.1818426184806885,0.25568390130009305,0.5550295409850299,0.3137530801122898
5,AARS1,-0.08269994288273708,0.27496187315798765,0.5309310527804424,0.2871294346516171
6,AARS2,-0.013680344456396654,0.009891719020203143,0.9774809021460161,0.016881881696668512
7,AASDHPPT,-0.6669082297986648,1.6909299844945551,0.020373705092975754,1.8176938134449228
8,ABCA1,0.43197759475730635,0.28494461700892215,0.5188662026295316,0.5174921034515105
9,ABCB10,-0.6440210150398968,0.5479035035039534,0.2832021176628663,0.8455538521968461
10,ABCB7,-1.1396209533488992,0.9679716311188724,0.1076535532531823,1.4952274061034276
11,ABCD3,0.6585006189799962,0.5274800173699006,0.2968383320702341,0.8437169157493459
12,ABCE1,0.09712722462012024,0.17377955735575806,0.6702247210807948,0.19908046694030657
13,ABCF1,0.45100697258513556,0.8317762107043194,0.14730713715820584,0.9461812479721026
14,ABHD10,-0.5737743322994504,0.24083373764890706,0.5743362951331176,0.6222683292564574
15,ABHD11,0.02138792459837191,0.018393505550370434,0.9585317314839387,0.02820929572068665
16,ABHD17B,-0.2613474638033253,0.2328369923930086,0.5850096198007076,0.3500222305269372
17,ABI3BP,-0.5063218852866278,0.6405647638930212,0.22878905058936766,0.8165078494794322
18,ABRACL,-0.4944322170085549,1.0031997862691597,0.09926592953917508,1.1184243507660598
19,ACAA1,0.5600149541933739,0.3286003492309839,0.4692449968004052,0.6493034255530546
20,ACADM,0.3162208065267116,0.44343837714435314,0.36021485832815947,0.5446404252392779
21,ACADS,-0.6375829332370841,0.33673312148120316,0.4605394929976384,0.7210417407180244
22,ACAN,-0.34576006464182285,0.17285187640279215,0.6716578943330246,0.3865589133328627
23,ACAT1,-0.05718641674163649,0.027970383575422014,0.9376259455261342,0.06366025932325724
24,ACAT2,0.2807785228604587,0.20876802880983494,0.6183465915175176,0.3498866512927368
25,ACBD3,-0.3578517794202263,0.34738022830939463,0.4493862413464368,0.498729304387169
26,ACE,1.6547395810300358,0.7069703986066903,0.1963494103497196,1.7994360854260874
27,ACHE,-0.29147697152371066,0.20447093128888913,0.6244951483283678,0.3560437988096123
28,ACLY,0.20223444064422935,0.26881694009557283,0.538496716978713,0.3363945841791023
29,ACO1,-0.2120461560636535,0.16738944665967292,0.6801591632463068,0.2701532882539148
30,ACO2,-1.0307114252391685,1.2706661363091718,0.05362087093187936,1.6361413362180655
31,ACOT7,-0.24914978567223045,0.5184213884619485,0.30309488794536216,0.5751837547387209
32,ACP1,-0.09634359373011492,0.125993635607201,0.7481804646833231,0.15860795776490405
33,ACP5,-0.17958176657474567,0.08767541026644095,0.8171929094617788,0.19984140825038035
34,ACP7,-0.216398651009019,0.139394524158368,0.7254466438209853,0.2574086430636334
35,ACSL3;ACSL4,-0.8867942077847921,1.7172924480975564,0.01917377169705215,1.9327434695927848
