,Gene,Fold Change,Neg Log P-Value,p-values,Distance
0,A1BG,0.42464982605900303,0.3704669979992803,0.42612106325584076,0.5635363975632278
1,A2M,0.05648103433457763,0.05021574676469847,0.8908082966513876,0.07557597807928165
2,A2M;PZP,0.3112138463906611,0.25359346220279794,0.5577075679498429,0.4014519924689276
3,AAAS,-0.3855802199481957,0.44418220714598894,0.3595984348937159,0.5881920937588172
4,AAMP,-0.4531445300156598,0.9203413425375859,0.12013198618045015,1.025849965573426
5,AARS1,-0.06123575553471383,0.23213507132892355,0.5859558961365611,0.24007604856959733
6,AARS2,0.04897380571577159,0.05778157329988221,0.8754239555571065,0.07574393612227848
7,AASDHPPT,0.15205222689863973,0.09296472122006141,0.8073006065453093,0.17821986167753345
8,ABCA1,0.3546528263499198,0.4041984138375237,0.394277129601099,0.5377313316022755
9,ABCB10,-0.08807474967151308,0.39237701816015036,0.40515665959700303,0.40214038084971104
10,ABCB7,-0.17904595463159723,0.501364280719298,0.31523593549589196,0.5323754275425557
11,ABCD3,-0.21566135285563348,0.4333468855384862,0.36868300148047134,0.484044773054547
12,ABCE1,1.0736411094708416,0.4531898253557777,0.3522168872534466,1.165369576465672
13,ABCF1,0.3641950575542001,0.28321142273429195,0.520941045451953,0.46135317264985726
14,ABHD10,-0.521433722150686,0.3596837991494208,0.43683376613659775,0.6334552564834233
15,ABHD11,0.46707475876903004,0.6962734413516807,0.2012456763873028,0.838424436315438
16,ABHD17B,-0.19883086380814063,0.24395232955329577,0.5702268599452257,0.31471646206890924
17,ABI3BP,0.16895877232809653,0.24740805116691864,0.565707516013315,0.2995960789610408
18,ABRACL,0.8608256624350865,0.504888124493424,0.3126884757883414,0.9979643477405857
19,ACAA1,0.22721391214670206,0.29228475599166204,0.5101703843713253,0.37021148072164733
20,ACADM,-0.30843200281370997,0.34639182618946573,0.4504101552102323,0.4638077162041932
21,ACADS,0.1900362669214637,0.15348627937497872,0.7022855306264921,0.24427816255617243
22,ACAN,-0.10231322287132372,0.09654667098826193,0.8006695807900157,0.14067428781846686
23,ACAT1,-0.17379023799861315,0.1767099692528542,0.6657175876205292,0.2478496722954446
24,ACAT2,0.005571359660962116,0.006804813285391433,0.9844534532230913,0.008794630880306215
25,ACBD3,-0.47289457597060647,0.3972608946989577,0.40062597638196684,0.6176127414808052
26,ACE,0.056848247137811114,0.09134614110592007,0.8103149637071481,0.10759108093882276
27,ACHE,0.3896892381673993,0.6947258109830752,0.20196410485924518,0.7965561215567799
28,ACLY,-0.12096078705706148,0.29124163751346144,0.5113972195909,0.3153620196329708
29,ACO1,-0.28842870806884946,0.43018042067499285,0.37138091280322655,0.517925008056552
30,ACO2,1.9086255664047407,1.0222079024255732,0.09501498356649006,2.1651236797271207
31,ACOT7,-0.03318006290775699,0.11058398663287738,0.7752040149734193,0.1154544701351278
32,ACP1,-0.1883776973593818,0.08810763465158268,0.8163800163390472,0.20796420881084232
